726,17000
727,17001
3952,17002
6,17003
17,17004
95,17005
165,17006
3276,17007
16,17008
38,17009
94,17010
141,17011
186,17012
191,17013
210,17014
216,17015
284,17016
309,17017
3284,17018
308,17019
1172,17020
2262,17021
63,17022
261,17023
290,17024
521,17025
565,17026
3586,17027
126,17028
239,17029
332,17030
566,17031
1961,17032
272,17033
1143,17034
105,17035
79,17036
287,17037
46,17038
499,17039
158,17040
4420,17041
229,17042
2928,17043
621,17044
4262,17045
733,17046
288,17047
3,17048
363,17049
468,17050
559,17051
699,17052
1178,17053
1306,17054
1620,17055
1201,17056
70,17057
3216,17058
99,17059
729,17060
181,17061
200,17062
3553,17063
117,17064
477,17065
444,17066
3907,17067
708,17068
709,17069
1491,17070
3279,17071
4426,17072
172,17073
37,17074
139,17075
3727,17076
209,17077
428,17078
48,17079
78,17080
491,17081
4363,17082
4591,17083
4565,17084
4526,17085
4033,17086
4090,17087
238,17088
265,17089
414,17090
351,17091
4087,17092
568,17093
4089,17094
1293,17095
418,17096
228,17097
4433,17098
4148,17099
4435,17100
3993,17101
4535,17102
4592,17103
4418,17104
3201,17105
140,17106
4134,17107
4529,17108
4272,17109
3978,17110
4400,17111
240,17112
4305,17113
4495,17114
4052,17115
614,17116
83,17117
1644,17118
464,17119
4616,17120
4467,17121
4521,17122
530,17123
3662,17124
4264,17125
2132,17126
4287,17127
470,17128
622,17129
3529,17130
4490,17131
4303,17132
4174,17133
326,17134
325,17135
4587,17136
581,17137
2020,17138
123,17139
4271,17140
86,17141
4007,17142
704,17143
353,17144
4525,17145
431,17146
4422,17147
724,17148
4149,17149
427,17150
440,17151
4403,17152
4150,17153
88,17154
3204,17155
4404,17156
11,17157
4589,17158
3971,17159
2952,17160
3688,17161
222,17162
4028,17163
1696,17164
4091,17165
1940,17166
2230,17167
214,17168
354,17169
4394,17170
4590,17171
4620,17172
252,17173
113,17174
307,17175
402,17176
422,17177
482,17178
2966,17179
3025,17180
441,17181
298,17182
740,17183
4214,17184
4054,17185
4478,17186
4141,17187
4197,17188
346,17189
4334,17190
4292,17191
734,17192
2915,17193
4144,17194
646,17195
4194,17196
744,17197
153,17198
4491,17199
597,17200
4469,17201
4263,17202
4464,17203
4441,17204
2963,17205
4496,17206
231,17207
4095,17208
4372,17209
466,17210
436,17211
417,17212
593,17213
4470,17214
4044,17215
4395,17216
4247,17217
4568,17218
781,17219
318,17220
4219,17221
434,17222
457,17223
4429,17224
731,17225
365,17226
4297,17227
4172,17228
4391,17229
4038,17230
4398,17231
2885,17232
1366,17233
4137,17234
4138,17235
4159,17236
4513,17237
4125,17238
4421,17239
4246,17240
4130,17241
4136,17242
4270,17243
4411,17244
4505,17245
4492,17246
4560,17247
4561,17248
2998,17249
4276,17250
4279,17251
4107,17252
4290,17253
4497,17254
357,17255
4443,17256
4484,17257
4252,17258
4259,17259
4493,17260
4291,17261
4072,17262
