726	1	1
727	1	1
6	2	1
17	3	1
95	4	1
165	5	1
16	6	1
38	7	1
94	8	1
141	9	1
186	10	1
191	11	1
210	12	1
216	13	1
284	14	1
309	15	1
94	8	1
309	15	1
308	16	1
727	1	1
6	2	1
38	7	1
63	17	1
94	8	1
261	18	1
290	19	1
521	20	1
565	21	1
17	3	1
126	22	1
165	5	1
186	10	1
191	11	1
216	13	1
239	23	1
332	24	1
566	25	1
726	1	1
727	1	1
565	21	1
16	6	1
38	7	1
94	8	1
141	9	1
210	12	1
216	13	1
309	15	1
16	6	1
38	7	1
63	17	1
126	22	1
186	10	1
191	11	1
216	13	1
261	18	1
272	26	1
566	25	1
16	6	1
38	7	1
210	12	1
309	15	1
309	15	1
726	1	1
727	1	1
63	17	1
94	8	1
105	27	1
126	22	1
186	10	1
239	23	1
565	21	1
6	2	1
566	25	1
16	6	1
38	7	1
94	8	1
141	9	1
186	10	1
191	11	1
210	12	1
216	13	1
284	14	1
309	15	1
79	28	1
94	8	1
287	29	1
79	28	1
94	8	1
287	29	1
287	29	1
17	3	1
165	5	1
46	30	1
94	8	1
499	31	1
38	7	1
186	10	1
261	18	1
94	8	1
158	32	1
16	6	1
38	7	1
309	15	1
79	28	1
229	33	1
287	29	1
94	8	1
621	34	1
733	35	1
288	36	1
3	37	1
94	8	1
287	29	1
6	2	1
94	8	1
141	9	1
288	36	1
309	15	1
363	38	1
468	39	1
559	40	1
565	21	1
699	41	1
726	1	1
727	1	1
17	3	1
94	8	1
309	15	1
141	9	1
186	10	1
309	15	1
726	1	1
727	1	1
6	2	1
16	6	1
38	7	1
70	42	1
94	8	1
95	4	1
186	10	1
216	13	1
239	23	1
309	15	1
565	21	1
727	1	1
99	43	1
726	1	1
727	1	1
729	44	1
141	9	1
181	45	1
200	9	1
309	15	1
287	29	1
17	3	1
17	3	1
165	5	1
727	1	1
117	46	1
332	24	1
727	1	1
17	3	1
94	8	1
94	8	1
158	32	1
309	15	1
287	29	1
6	2	1
17	3	1
94	8	1
95	4	1
165	5	1
332	24	1
477	47	1
16	6	1
94	8	1
309	15	1
38	7	1
141	9	1
210	12	1
726	1	1
727	1	1
729	44	1
566	25	1
6	2	1
94	8	1
186	10	1
477	47	1
229	33	1
444	48	1
699	41	1
141	9	1
309	15	1
6	2	1
94	8	1
559	40	1
708	49	1
709	50	1
6	2	1
477	47	1
94	8	1
6	2	1
16	6	1
38	7	1
94	8	1
141	9	1
186	10	1
191	11	1
210	12	1
216	13	1
309	15	1
94	8	1
